,id,Mun_Code,Reg_Name,Pro_Name,Mun_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
114,114,97341000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,27.55307263,28.84283247,0.87150838,29.53701794,10.29377747,52.66112906,0.134078212,83.65706961,99.20872091,0.00350995
115,115,97343000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,GUIPOS,20.64729506,58.40909091,1.488306166,43.63636364,10.98503139,57.75521715,0.212615167,87.48130638,98.75054272,0.058500466
116,116,97344000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TIGBAO,22.95979063,60.19151847,1.784439686,59.18460834,7.368641407,47.85395538,1.974779919,87.3015873,99.1991992,45.51514431
117,117,98301000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,ALICIA,42.25493476,71.16827438,8.408609345,30.09958485,15.01808786,45.6601745,0.066912011,90.87829395,98.8865132,0.002388521
118,118,98302000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,BUUG,40.67328918,52.5,2.635209713,51.26664452,12.67154034,51.64840378,0.372516556,,98.65425561,45.51583866
119,119,98303000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,DIPLAHAN,34.58333333,75.45239969,4.830246914,68.88523692,9.875640088,54.63180305,0.138888889,,99.02553349,45.50786583
120,120,98304000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,IMELDA,36.50728504,41.78217822,2.277857583,80.99003416,8.904248831,50.63618879,0.369382311,,98.91498323,0.008298062
121,121,98305000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,IPIL (Capital),53.50944987,47.98387097,10.98152182,23.58078603,12.39193084,55.22620083,0.618281459,89.38189719,98.02695028,0.008994208
122,122,98306000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,KABASALAN,31.73087851,34.50292398,3.034435731,76.56082001,9.83206405,54.08805031,0.193203773,,98.64218694,0.015715248
123,123,98307000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,MABUHAY,44.26462742,55.91397849,1.493864485,40.90239488,15.33333333,51.92504958,0.497954828,90.03729042,99.44504801,0.000362593
124,124,98308000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,MALANGAS,39.5243829,66.52542373,2.528597231,68.21700093,9.59574162,57.88582355,0.52679109,92.0910725,98.94547633,0.006727517
125,125,98309000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,50.51810455,49.20948617,6.100826639,27.33505789,11.52412508,50.80393569,0.291069973,91.91857918,98.6665629,0.009032357
126,126,98310000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,OLUTANGA,29.7886961,68.48673947,16.21714482,45.59787498,8.90080429,54.02846784,0.377941934,87.16585278,99.50389794,0.000295041
